player,salary,team,pos,opp,ceil,floor,fpts
"Kirk Nieuwenhuis",2500,MIL,OF,CHC,,,5.61
"Orlando Arcia",2700,MIL,SS,CHC,,,6.35
"Martin Maldonado",2500,MIL,C,CHC,,,5.24
"Keon Broxton",4300,MIL,OF,CHC,,,5.58
"Willson Contreras",3900,CHC,C/OF,MIL,,,6.26
"Javier Baez",3700,CHC,2B/3B,MIL,,,5.85
"Jorge Soler",4800,CHC,OF,MIL,,,5.71
"Coco Crisp",4400,OAK,OF,TEX,,,7.43
"Stephen Vogt",4000,OAK,C,TEX,,,7.21
"Danny Valencia",3600,OAK,3B,TEX,,,7.98
"Khris Davis",4500,OAK,OF,TEX,,,8.77
"Ryon Healy",3000,OAK,3B,TEX,,,5.72
"Marcus Semien",3700,OAK,SS,TEX,,,6.2
"Max Muncy",3200,OAK,2B/OF,TEX,,,5.46
"Billy Butler",3600,OAK,1B,TEX,,,6.03
"Yonder Alonso",3700,OAK,1B,TEX,,,6.06
"Adrian Beltre",4800,TEX,3B,OAK,,,8.53
"Elvis Andrus",3900,TEX,SS,OAK,,,6.15
"Ian Desmond",4600,TEX,OF,OAK,,,9.18
"Jurickson Profar",4100,TEX,1B/2B,OAK,,,6.95
"Carlos Beltran",4600,TEX,OF,OAK,,,8.44
"Rougned Odor",5200,TEX,2B,OAK,,,8.39
"Mitch Moreland",4600,TEX,1B,OAK,,,6.73
"Ryan Rua",3600,TEX,1B/OF,OAK,,,6.09
"Robinson Chirinos",3800,TEX,C,OAK,,,5.04
"Alex Bregman",3500,HOU,3B,STL,,,5.9
"Jose Altuve",4900,HOU,2B,STL,,,11.41
"Jason Castro",2400,HOU,C,STL,,,3.95
"Marwin Gonzalez",3200,HOU,1B/3B,STL,,,5.99
"Evan Gattis",3500,HOU,C,STL,,,6.72
"George Springer",4200,HOU,OF,STL,,,9.51
"Carlos Correa",4000,HOU,SS,STL,,,8.27
"Teoscar Hernandez",2400,HOU,OF,STL,,,6
"Greg Garcia",2700,STL,2B/SS,HOU,,,4.79
"Yadier Molina",3000,STL,C,HOU,,,5.54
"Brandon Moss",4000,STL,1B/OF,HOU,,,5.94
"Stephen Piscotty",4400,STL,OF,HOU,,,8.6
"Jhonny Peralta",3300,STL,3B/SS,HOU,,,6.03
"Randal Grichuk",3000,STL,OF,HOU,,,5.64
"Jedd Gyorko",3100,STL,2B/3B,HOU,,,5.26
"Thomas Pham",3400,STL,OF,HOU,,,5.76
"Matt Carpenter",4100,STL,2B/3B,HOU,,,7.79
"Jake Marisnick",2500,HOU,OF,STL,,,5.59
"Ryan Raburn",3300,COL,OF,WAS,,,8.51
"Carlos Gonzalez",5300,COL,OF,WAS,,,9.41
"Charlie Blackmon",5600,COL,OF,WAS,,,8.58
"DJ LeMahieu",5100,COL,2B,WAS,,,9.72
"Nolan Arenado",5500,COL,3B,WAS,,,11.79
