Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
OF,Jon Jay (7223717),Jon Jay,7223717,2900,SD@TB 01:10PM ET,SD
OF,Desmond Jennings (7223718),Desmond Jennings,7223718,2900,SD@TB 01:10PM ET,TB
2B,Kolten Wong (7223607),Kolten Wong,7223607,2900,StL@Hou 02:10PM ET,StL
SS,Alen Hanson (7223679),Alen Hanson,7223679,2900,Pit@SF 03:45PM ET,Pit
1B,Jason Rogers (7223580),Jason Rogers,7223580,2900,Pit@SF 03:45PM ET,Pit
2B/SS,Kelby Tomlinson (7223635),Kelby Tomlinson,7223635,2900,Pit@SF 03:45PM ET,SF
OF,Mac Williamson (7223769),Mac Williamson,7223769,2900,Pit@SF 03:45PM ET,SF
C,Brian McCann (7223527),Brian McCann,7223527,2800,Tor@NYY 01:05PM ET,NYY
SS,Jordy Mercer (7223677),Jordy Mercer,7223677,2800,Pit@SF 03:45PM ET,Pit
1B/3B,Richie Shaffer (7223584),Richie Shaffer,7223584,2800,SD@TB 01:10PM ET,TB
2B/SS,Greg Garcia (7223631),Greg Garcia,7223631,2800,StL@Hou 02:10PM ET,StL
OF,Preston Tucker (7223740),Preston Tucker,7223740,2800,StL@Hou 02:10PM ET,Hou
1B,Tyler White (7223573),Tyler White,7223573,2800,StL@Hou 02:10PM ET,Hou
C,Bobby Wilson (7223532),Bobby Wilson,7223532,2700,SD@TB 01:10PM ET,TB
1B,Chris Colabello (7223564),Chris Colabello,7223564,2700,Tor@NYY 01:05PM ET,Tor
1B/OF,Chris Parmelee (7223587),Chris Parmelee,7223587,2700,Tor@NYY 01:05PM ET,NYY
OF,Domonic Brown (7223705),Domonic Brown,7223705,2700,Tor@NYY 01:05PM ET,Tor
1B,Justin Smoak (7223565),Justin Smoak,7223565,2700,Tor@NYY 01:05PM ET,Tor
1B,Ike Davis (7223566),Ike Davis,7223566,2700,Tor@NYY 01:05PM ET,NYY
OF,Dalton Pompey (7223714),Dalton Pompey,7223714,2700,Tor@NYY 01:05PM ET,Tor
C,Trevor Brown (7223561),Trevor Brown,7223561,2700,Pit@SF 03:45PM ET,SF
3B,Hector Olivera (7223641),Hector Olivera,7223641,2700,SD@TB 01:10PM ET,SD
2B/3B,Maicer Izturis (7223616),Maicer Izturis,7223616,2600,Tor@NYY 01:05PM ET,Tor
1B,John Jaso (7223578),John Jaso,7223578,2600,Pit@SF 03:45PM ET,Pit
OF,Carlos Gomez (7223731),Carlos Gomez,7223731,2600,StL@Hou 02:10PM ET,Hou
2B/3B,Ramiro Pena (7223621),Ramiro Pena,7223621,2600,Pit@SF 03:45PM ET,SF
3B,Chase Headley (7223636),Chase Headley,7223636,2600,Tor@NYY 01:05PM ET,NYY
C,Hank Conger (7223533),Hank Conger,7223533,2600,SD@TB 01:10PM ET,TB
1B/3B,Matt Dominguez (7223582),Matt Dominguez,7223582,2600,Tor@NYY 01:05PM ET,Tor
1B/3B,Brett Wallace (7223583),Brett Wallace,7223583,2600,SD@TB 01:10PM ET,SD
OF,Darrell Ceciliani (7223711),Darrell Ceciliani,7223711,2600,Tor@NYY 01:05PM ET,Tor
C,Christian Bethancourt (7223536),Christian Bethancourt,7223536,2600,SD@TB 01:10PM ET,SD
2B,Ryan Brett (7223605),Ryan Brett,7223605,2600,SD@TB 01:10PM ET,TB
C,Justin O'Conner (7223539),Justin O'Conner,7223539,2600,SD@TB 01:10PM ET,TB
OF,Tyler Austin (7223713),Tyler Austin,7223713,2600,Tor@NYY 01:05PM ET,NYY
1B/OF,Rob Refsnyder (7223589),Rob Refsnyder,7223589,2600,Tor@NYY 01:05PM ET,NYY
SS,Willy Adames (7223672),Willy Adames,7223672,2600,SD@TB 01:10PM ET,TB
2B,Marco Scutaro (7223612),Marco Scutaro,7223612,2500,Pit@SF 03:45PM ET,SF
C,Brayan Pena (7223541),Brayan Pena,7223541,2500,StL@Hou 02:10PM ET,StL
1B/OF,Corey Hart (7223594),Corey Hart,7223594,2500,Pit@SF 03:45PM ET,Pit
1B,Michael Morse (7223577),Michael Morse,7223577,2500,Pit@SF 03:45PM ET,Pit
1B/OF,Kyle Blanks (7223595),Kyle Blanks,7223595,2500,Pit@SF 03:45PM ET,SF
OF,Antoan Richardson (7223763),Antoan Richardson,7223763,2500,Pit@SF 03:45PM ET,Pit
2B,Grant Green (7223613),Grant Green,7223613,2500,Pit@SF 03:45PM ET,SF
OF,Gorkys Hernandez (7223764),Gorkys Hernandez,7223764,2500,Pit@SF 03:45PM ET,SF
2B/SS,Danny Worth (7223630),Danny Worth,7223630,2500,StL@Hou 02:10PM ET,Hou
C,Alberto Rosario (7223543),Alberto Rosario,7223543,2500,StL@Hou 02:10PM ET,StL
3B/SS,Ruben Tejada (7223665),Ruben Tejada,7223665,2500,Pit@SF 03:45PM ET,SF
2B/SS,Ehire Adrianza (7223634),Ehire Adrianza,7223634,2500,Pit@SF 03:45PM ET,SF
C,Max Stassi (7223545),Max Stassi,7223545,2500,StL@Hou 02:10PM ET,Hou
2B/SS,Ryan Goins (7223626),Ryan Goins,7223626,2500,Tor@NYY 01:05PM ET,Tor
1B,Jon Singleton (7223570),Jon Singleton,7223570,2500,StL@Hou 02:10PM ET,Hou
C,Luke Maile (7223537),Luke Maile,7223537,2500,SD@TB 01:10PM ET,TB
OF,Eury Perez (7223738),Eury Perez,7223738,2500,StL@Hou 02:10PM ET,Hou
C,Elias Diaz (7223559),Elias Diaz,7223559,2500,Pit@SF 03:45PM ET,Pit
C,Jacob Stallings (7223560),Jacob Stallings,7223560,2500,Pit@SF 03:45PM ET,Pit
C,Cody Stanley (7223546),Cody Stanley,7223546,2500,StL@Hou 02:10PM ET,StL
OF,Teoscar Hernandez (7223741),Teoscar Hernandez,7223741,2500,StL@Hou 02:10PM ET,Hou
OF,Josh Bell (7223768),Josh Bell,7223768,2500,Pit@SF 03:45PM ET,Pit
C,Erik Kratz (7223526),Erik Kratz,7223526,2400,Tor@NYY 01:05PM ET,Tor
C,Chris Stewart (7223555),Chris Stewart,7223555,2400,Pit@SF 03:45PM ET,Pit
2B/3B,Adam Rosales (7223617),Adam Rosales,7223617,2400,SD@TB 01:10PM ET,SD
C,Josh Thole (7223529),Josh Thole,7223529,2400,Tor@NYY 01:05PM ET,Tor
C,Eric Fryer (7223557),Eric Fryer,7223557,2400,Pit@SF 03:45PM ET,Pit
OF,Aaron Hicks (7223707),Aaron Hicks,7223707,2400,Tor@NYY 01:05PM ET,NYY
OF,Ben Gamel (7223712),Ben Gamel,7223712,2400,Tor@NYY 01:05PM ET,NYY
C,Gary Sanchez (7223531),Gary Sanchez,7223531,2400,Tor@NYY 01:05PM ET,NYY
OF,Mikie Mahtook (7223727),Mikie Mahtook,7223727,2400,SD@TB 01:10PM ET,TB
OF,Manuel Margot (7223729),Manuel Margot,7223729,2400,SD@TB 01:10PM ET,SD
C,Austin Romine (7223530),Austin Romine,7223530,2300,Tor@NYY 01:05PM ET,NYY
OF,Jabari Blash (7223720),Jabari Blash,7223720,2300,SD@TB 01:10PM ET,SD
2B/SS,Alexi Amarista (7223629),Alexi Amarista,7223629,2300,SD@TB 01:10PM ET,SD
2B/SS,Justin Sellers (7223627),Justin Sellers,7223627,2200,SD@TB 01:10PM ET,SD
1B/SS,Nick Noonan (7223596),Nick Noonan,7223596,2200,SD@TB 01:10PM ET,SD
2B,Jemile Weeks (7223600),Jemile Weeks,7223600,2200,SD@TB 01:10PM ET,SD
1B,Josh Satin (7223568),Josh Satin,7223568,2200,SD@TB 01:10PM ET,SD
OF,Cesar Puello (7223708),Cesar Puello,7223708,2200,Tor@NYY 01:05PM ET,NYY
2B,Jose Pirela (7223602),Jose Pirela,7223602,2200,SD@TB 01:10PM ET,SD
OF,Slade Heathcott (7223710),Slade Heathcott,7223710,2200,Tor@NYY 01:05PM ET,NYY
C,Hector Sanchez (7223535),Hector Sanchez,7223535,2200,SD@TB 01:10PM ET,SD
3B/SS,Ronald Torreyes (7223661),Ronald Torreyes,7223661,2200,Tor@NYY 01:05PM ET,NYY
2B,Taylor Lindsey (7223604),Taylor Lindsey,7223604,2200,SD@TB 01:10PM ET,SD
OF,Hunter Renfroe (7223726),Hunter Renfroe,7223726,2200,SD@TB 01:10PM ET,SD
SS,Jose Rondon (7223669),Jose Rondon,7223669,2200,SD@TB 01:10PM ET,SD
C,Austin Hedges (7223540),Austin Hedges,7223540,2200,SD@TB 01:10PM ET,SD
3B,Patrick Kivlehan (7223640),Patrick Kivlehan,7223640,2200,SD@TB 01:10PM ET,SD
SS,Carlos Asuaje (7223671),Carlos Asuaje,7223671,2200,SD@TB 01:10PM ET,SD
2B/SS,Darwin Barney (7223625),Darwin Barney,7223625,2100,Tor@NYY 01:05PM ET,Tor
C,Derek Norris (7223534),Derek Norris,7223534,2100,SD@TB 01:10PM ET,SD
SS,Alexei Ramirez (7223668),Alexei Ramirez,7223668,2100,SD@TB 01:10PM ET,SD
1B/OF,Dustin Ackley (7223588),Dustin Ackley,7223588,2100,Tor@NYY 01:05PM ET,NYY
3B/SS,Luis Sardinas (7223662),Luis Sardinas,7223662,2100,SD@TB 01:10PM ET,SD
