player,salary,team,pos,opp,ceil,floor,fpts
"Mitch Haniger",0,ARI,OF,NYM,,,6.06
"Tuffy Gosewisch",2800,ARI,C,NYM,,,5.16
"Curtis Granderson",4600,NYM,OF,ARI,,,8.16
"Jose Reyes",4200,NYM,3B/SS,ARI,,,8.6
"Neil Walker",4900,NYM,2B,ARI,,,8.53
"James Loney",3500,NYM,1B,ARI,,,6.3
"Wilmer Flores",3800,NYM,1B/3B,ARI,,,6.37
"Jay Bruce",5000,NYM,OF,ARI,,,9.17
"Alejandro De Aza",3300,NYM,OF,ARI,,,5.7
"Travis d'Arnaud",3600,NYM,C,ARI,,,6.16
"Albert Pujols",3200,LAA,1B,SEA,,,7.78
"Yunel Escobar",3000,LAA,3B,SEA,,,6.63
"Mike Trout",5600,LAA,OF,SEA,,,10.54
"Johnny Giavotella",3400,LAA,2B,SEA,,,5.26
"Kole Calhoun",3700,LAA,OF,SEA,,,7.47
"Jett Bandy",3100,LAA,C,SEA,,,5.23
"Andrelton Simmons",2600,LAA,SS,SEA,,,6.01
"Ji-Man Choi",3200,LAA,1B/OF,SEA,,,6.04
"Cliff Pennington",2900,LAA,2B/SS,SEA,,,4.42
"Jefry Marte",3600,LAA,1B/3B,SEA,,,5.78
"Nick Buss",2700,LAA,OF,SEA,,,4.6
"Shawn O'Malley",3000,SEA,OF/SS,LAA,,,5.9
"Robinson Cano",3600,SEA,2B,LAA,,,6.48
"Nelson Cruz",4900,SEA,OF,LAA,,,10.89
"Mike Zunino",2700,SEA,C,LAA,,,6.13
"Kyle Seager",3900,SEA,3B,LAA,,,5.97
"Dae-Ho Lee",2800,SEA,1B,LAA,,,6.3
"Leonys Martin",2700,SEA,OF,LAA,,,5.52
"Ketel Marte",2500,SEA,SS,LAA,,,5.61
"Franklin Gutierrez",3400,SEA,OF,LAA,,,7.08
